case_id,category,file,sheet,row_start,row_end,name,type,description,institution,place,time_frame,participants,evaluator_role,data_type,data_source,complexity,year,citation
C11,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,39,43,"[{""value"": ""11. SOLACE"", ""cell"": ""A39""}]","[{""value"": ""Participatory Immersive Theatre and Digital Installation"", ""cell"": ""B39""}]","[{""value"": ""SOLACE was an immersive performance developed by Milk Crate Theatre in partnership with Box of Birds. Directed by Margot Politis and David Clarkson, and devised with the Collaborative Artists, it sought to physicalize the thoughts, impulses, and sensations driving the pursuit of comfort. Over three months of creative development, the Collaborative Artists engaged deeply with personal and artistic challenges, emerging with a powerful, unapologetic performance blending movement, text, and interactive digital projections. SOLACE not only showcased artistic growth but also celebrated the empowerment and visibility of marginalized voices within broader cultural spaces.\n"", ""cell"": ""C39""}]","[{""value"": ""Milk Crate Theatre, in collaboration with Box of Birds"", ""cell"": ""D39""}]","[{""value"": ""Carriageworks, Sydney, Australia"", ""cell"": ""E39""}]","[{""value"": ""Three months of creative development in 2023, culminating in public performances\n"", ""cell"": ""J39""}]","[{""value"": ""Milk Crate Theatre Collaborative Artists (artists with lived experience of homelessness, mental health challenges, or social exclusion)\n"", ""cell"": ""K39""}]","[{""value"": ""Co-directors (Margot Politis and David Clarkson) and facilitators of the creative process; support artists and social workers provided personal and artistic support\n"", ""cell"": ""L39""}]","[{""value"": ""Qualitative "", ""cell"": ""M39""}]","[{""value"": ""artistic outputs (movement, text, projections)"", ""cell"": ""N39""}, {""value"": ""participant reflections"", ""cell"": ""N40""}, {""value"": ""audience experience observations"", ""cell"": ""N41""}]","[{""value"": ""High – interdisciplinary, physical-digital integration, deep personal and emotional engagement"", ""cell"": ""O39""}]","[{""value"": 2023, ""cell"": ""P39""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q39""}]"
C12,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,44,47,"[{""value"": ""12. EMERGENCE Exhibition"", ""cell"": ""A44""}]","[{""value"": ""Participatory Retrospective Exhibition and Community Engagement Events"", ""cell"": ""B44""}]","[{""value"": ""EMERGENCE was a curated retrospective exhibition celebrating 24 years of Milk Crate Theatre’s history, remounted at 107 Projects Redfern in March 2023 after its original presentation was impacted by COVID lockdowns. Curated by Artistic Director Margot Politis, the exhibition included photographic and video works from 1999 through 2022, featuring major projects such as DUST and WATERLOO. Community engagement was central to the exhibition, with events including an Opening Night, an Open Mic Night, and an Artist Q&A, bringing together past and present Collaborative Artists and supporters to celebrate the collective creative strength of the community.\n"", ""cell"": ""C44""}]","[{""value"": ""Milk Crate Theatre"", ""cell"": ""D44""}]","[{""value"": ""107 Projects Redfern, Sydney, Australia (remounted in 2023; originally presented at Vandal Gallery in 2021)"", ""cell"": ""E44""}]","[{""value"": ""Originally planned 2021; remounted and executed March 2023"", ""cell"": ""J44""}]","[{""value"": ""Milk Crate Theatre Collaborative Artists (past and present), photographers, filmmakers, CACD community members, general public"", ""cell"": ""K44""}]","[{""value"": ""Curator (Margot Politis) and event facilitators; supported collective memory sharing and visibility of marginalized voices\n"", ""cell"": ""L44""}]","[{""value"": ""Qualitative "", ""cell"": ""M44""}]","[{""value"": ""visual documentation (photos, videos)"", ""cell"": ""N44""}, {""value"": ""public event feedback"", ""cell"": ""N45""}, {""value"": ""artists' narratives"", ""cell"": ""N46""}]","[{""value"": ""Medium – multi-generational participation, memory work, community-focused engagement"", ""cell"": ""O44""}]","[{""value"": ""2023 (remounted)"", ""cell"": ""P44""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q44""}]"
C13,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,48,51,"[{""value"": ""13. MCT ON TOUR – Regional Creative Workshops\n"", ""cell"": ""A48""}]","[{""value"": ""Participatory Regional Workshop Series / Skill Building and Creative Exchange"", ""cell"": ""B48""}]","[{""value"": ""In May and June 2023, Milk Crate Theatre embarked on its first regional workshop tour across New South Wales, offering creative workshops facilitated by Artistic Director Margot Politis. Hosted by local arts organizations, the workshops focused on PROCESS (inclusive material making) and PRACTICE (embodiment and collaborative play). Participants from Newcastle, Wagga Wagga, Bathurst, Parkes, and Lismore engaged in dynamic sessions aimed at skill-building and creative empowerment. Participant feedback highlighted significant learning in collaborative creative practices."", ""cell"": ""C48""}]","[{""value"": ""Milk Crate Theatre"", ""cell"": ""D48""}]","[{""value"": ""Regional NSW (Newcastle, Wagga Wagga, Bathurst, Parkes, Lismore)"", ""cell"": ""E48""}]","[{""value"": ""May–June 2023"", ""cell"": ""J48""}]","[{""value"": ""Regional artists, community members, local arts organizations, disability service participants"", ""cell"": ""K48""}]","[{""value"": ""Workshop facilitator (Margot Politis) and local organizational hosts supported the sessions and collected feedback\n"", ""cell"": ""L48""}]","[{""value"": ""Qualitative and Quantitative"", ""cell"": ""M48""}]","[{""value"": ""participant feedback surveys"", ""cell"": ""N48""}, {""value"": ""observational data"", ""cell"": ""N49""}]","[{""value"": ""Medium – multiple locations, varying participant groups, skill-building emphasis"", ""cell"": ""O48""}]","[{""value"": 2023, ""cell"": ""P48""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q48""}]"
C14,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,52,55,"[{""value"": ""14. Developing Artist Program (HEADWAY and GENERATE)"", ""cell"": ""A52""}]","[{""value"": ""Capacity Building and Creative Project Development Program"", ""cell"": ""B52""}]","[{""value"": ""Milk Crate Theatre’s Developing Artist Program (DAP) in 2023 included two key components: HEADWAY and GENERATE. HEADWAY offered Collaborative Artists a 10-week course in skills development for self-producing their own creative work, focusing on artistic identity, project planning, critical reflection, and self-care. GENERATE provided six Collaborative Artists with a nine-week residency to develop their individual creative projects, supported through a makerspace structure, mentorship, and dramaturgical guidance. The program culminated in internal sharings of works-in-progress. Both stages emphasized building confidence, artistic agency, and resilience among artists with lived experiences of marginalization.\n"", ""cell"": ""C52""}]","[{""value"": ""Milk Crate Theatre"", ""cell"": ""D52""}]","[{""value"": ""Milk Crate Theatre, Sydney, Australia"", ""cell"": ""E52""}]","[{""value"": ""HEADWAY – 10 weeks; GENERATE – 9 weeks, during 2023"", ""cell"": ""J52""}]","[{""value"": ""Collaborative Artists "", ""cell"": ""K52""}]","[{""value"": ""Artistic mentors as facilitators and supporters of self-directed development"", ""cell"": ""L52""}]","[{""value"": ""Qualitative "", ""cell"": ""M52""}]","[{""value"": ""self-assessment reflections"", ""cell"": ""N52""}, {""value"": ""workshop feedback"", ""cell"": ""N53""}, {""value"": ""observed changes in confidence and creative output"", ""cell"": ""N54""}]","[{""value"": ""High – personalized projects, psychological/emotional support needs, creative autonomy focus"", ""cell"": ""O52""}]","[{""value"": 2023, ""cell"": ""P52""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q52""}]"
C15,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,56,59,"[{""value"": ""15. Smartphone Filmmaking with SF3 – HopeStreet Youth Services"", ""cell"": ""A56""}]","[{""value"": ""Workshop Series"", ""cell"": ""B56""}]","[{""value"": ""A 10-week participatory filmmaking program where young people from HopeStreet Youth Services collaboratively created a short film using smartphones. The film, Let Him Out, was successfully screened at the SF3 Film Festival and awarded Best Lead Actor. The project focused on building storytelling, technical, and collaboration skills while fostering creativity, confidence, and teamwork among participants.\n"", ""cell"": ""C56""}]","[{""value"": ""Milk Crate Theatre (in collaboration with SF3 and HopeStreet Youth Services)"", ""cell"": ""D56""}]","[{""value"": ""HopeStreet Youth Services, NSW, Australia"", ""cell"": ""E56""}]","[{""value"": ""10 weeks (2023)"", ""cell"": ""J56""}]","[{""value"": ""Young people from HopeStreet Youth Services"", ""cell"": ""K56""}]","[{""value"": ""Lead Artist (Angela Blake) and Support Artist (Shalane Connors) as facilitators and technical mentors"", ""cell"": ""L56""}]","[{""value"": ""Qualitative "", ""cell"": ""M56""}]","[{""value"": ""film production output"", ""cell"": ""N56""}, {""value"": ""festival recognition"", ""cell"": ""N57""}, {""value"": ""observational reports"", ""cell"": ""N58""}]","[{""value"": ""Medium – collaborative creative production, youth-led storytelling"", ""cell"": ""O56""}]","[{""value"": 2023, ""cell"": ""P56""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q56""}]"
C16,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,60,63,"[{""value"": ""16. Twenty10 – Storytelling and Scriptwriting Workshops"", ""cell"": ""A60""}]","[{""value"": ""Workshop Series"", ""cell"": ""B60""}]","[{""value"": ""Nine-week participatory storytelling and scriptwriting workshops for LGBTIA+ young adults at Twenty10, focusing on developing original scripts and growing creative confidence. Participants engaged in guided writing exercises, iterative script development, and reflection on personal creative journeys.\n"", ""cell"": ""C60""}]","[{""value"": ""Milk Crate Theatre (in collaboration with Twenty10)"", ""cell"": ""D60""}]","[{""value"": ""Twenty10, Chippendale, NSW, Australia"", ""cell"": ""E60""}]","[{""value"": ""9 weeks (2023)"", ""cell"": ""J60""}]","[{""value"": ""LGBTIA+ young adults from the Twenty10 community\n"", ""cell"": ""K60""}]","[{""value"": ""Lead Artist (Charley Sanders) and Support Artist (Lu Bradshaw) as creative writing facilitators"", ""cell"": ""L60""}]","[{""value"": ""Qualitative "", ""cell"": ""M60""}]","[{""value"": ""original scripts"", ""cell"": ""N60""}, {""value"": ""participant reflections"", ""cell"": ""N61""}, {""value"": ""facilitator observations"", ""cell"": ""N62""}]","[{""value"": ""Medium – narrative development with an inclusive, identity-affirming focus"", ""cell"": ""O60""}]","[{""value"": 2023, ""cell"": ""P60""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q60""}]"
C17,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,64,67,"[{""value"": ""17. Drama + Creative Play Workshops – HopeStreet and Weave"", ""cell"": ""A64""}]","[{""value"": ""Theatre Workshops"", ""cell"": ""B64""}]","[{""value"": ""Eight-week drama and creative play workshops held with HopeStreet Youth Services and Weave Youth & Community Services. Participants explored improvisation, physical theatre, and movement, fostering creative confidence, relational skills, and expressive freedom through playful group activities.\n"", ""cell"": ""C64""}]","[{""value"": ""Milk Crate Theatre (in collaboration with HopeStreet Youth Services and Weave Youth & Community Services)"", ""cell"": ""D64""}]","[{""value"": ""HopeStreet and Weave, NSW, Australia"", ""cell"": ""E64""}]","[{""value"": ""8-week rounds (2023)"", ""cell"": ""J64""}]","[{""value"": ""Youth participants from HopeStreet and Weave communities"", ""cell"": ""K64""}]","[{""value"": ""Lead Artists (Alison Bennett for HopeStreet, Aslam Abdus-samad for Weave) and Support Artist (Olivia Aleksoski) facilitating workshops\n"", ""cell"": ""L64""}]","[{""value"": ""Qualitative"", ""cell"": ""M64""}]","[{""value"": ""observational reports"", ""cell"": ""N64""}, {""value"": ""participant feedback"", ""cell"": ""N65""}]","[{""value"": ""Medium – improvisational, relational, high emotional variability"", ""cell"": ""O64""}]","[{""value"": 2023, ""cell"": ""P64""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q64""}]"
C18,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,68,71,"[{""value"": ""18. Interdisciplinary Collaborative Student Symposium – Monash University"", ""cell"": ""A68""}]","[{""value"": ""Project"", ""cell"": ""B68""}]","[{""value"": ""In a course focused on \""Art and Social Change,\"" Monash University implemented an interdisciplinary Student Symposium designed to foster collaboration across creative arts and related fields. Students from diverse disciplines worked together to create participatory artworks, zines, blogs, and proposals that explored themes of social engagement and transformation. The process was supported by digital collaboration tools and framed through interdisciplinary learning goals. Evaluation was conducted through pre- and post-course surveys, peer feedback, and reflective journals. Findings indicated growth in students' appreciation of collaboration, creative risk-taking, and interdisciplinary learning.\n"", ""cell"": ""C68""}]","[{""value"": ""Monash University, Faculty of Art and Design (Australia)"", ""cell"": ""D68""}]","[{""value"": ""Undergraduate course \""Art and Social Change\"" (Monash University)\n"", ""cell"": ""E68""}]","[{""value"": ""Semester-long project"", ""cell"": ""J68""}]","[{""value"": ""Undergraduate students from multiple disciplines (art, design, humanities, law, etc.)"", ""cell"": ""K68""}]","[{""value"": ""Educators facilitated interdisciplinary teamwork, monitored creative processes, and gathered data through surveys and observations"", ""cell"": ""L68""}]","[{""value"": ""Quantitative "", ""cell"": ""M68""}, {""value"": ""Qualitative"", ""cell"": ""M69""}]","[{""value"": ""pre- and post-course surveys"", ""cell"": ""N68""}, {""value"": ""creative outputs"", ""cell"": ""N69""}, {""value"": ""reflective journals"", ""cell"": ""N70""}, {""value"": ""peer feedback"", ""cell"": ""N71""}]","[{""value"": ""High – interdisciplinary coordination, creative collaboration, peer assessment integration"", ""cell"": ""O68""}]","[{""value"": ""2014–2015"", ""cell"": ""P68""}]","[{""value"": ""Miles, M., & Rainbird, S. (2015). Evaluating interdisciplinary collaborative learning and assessment in the creative arts and humanities. Arts and Humanities in Higher Education, 14(4), 409–425. https://doi.org/10.1177/1474022214561759"", ""cell"": ""Q68""}]"
C19,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,72,76,"[{""value"": ""19. Evaluation of the BadIdeas Method"", ""cell"": ""A72""}]","[{""value"": ""Method"", ""cell"": ""B72""}]","[{""value"": ""The BadIdeas Method was evaluated in an experimental study involving 87 undergraduate students at the University of Central Lancashire. Students engaged in ideation tasks for designing public interfaces for children under varying conditions: with/without facilitation, individually/in groups, with/without an initial brainstorming session. Creativity was assessed through the number and quality of ideas generated, and participant experiences were measured via surveys on enjoyment and learning. Results were synthesized using a composite Value Metric, providing insights into how creative methods can be evaluated in participatory design contexts.\n"", ""cell"": ""C72""}]","[{""value"": ""University of Central Lancashire, United Kingdom"", ""cell"": ""D72""}]","[{""value"": ""Undergraduate courses in Computer Science (focused on designing public interfaces for children)"", ""cell"": ""E72""}]","[{""value"": ""Single session experiments conducted during the course"", ""cell"": ""J72""}]","[{""value"": ""87 undergraduate students from Computer Science and related fields"", ""cell"": ""K72""}]","[{""value"": ""Researchers acted as facilitators and evaluators, guiding some sessions and measuring outputs across conditions"", ""cell"": ""L72""}]","[{""value"": ""Quantitative"", ""cell"": ""M72""}]","[{""value"": ""number of ideas"", ""cell"": ""N72""}, {""value"": ""quality ratings"", ""cell"": ""N73""}, {""value"": ""survey results"", ""cell"": ""N74""}]","[{""value"": ""Medium – multi-variable experimental setup, creative task assessment"", ""cell"": ""O72""}]","[{""value"": 2010, ""cell"": ""P72""}]","[{""value"": ""Silva, P. A., & Read, J. C. (2010). A methodology to evaluate creative design methods: A study with the BadIdeas method. Proceedings of the 22nd Conference of the Computer-Human Interaction Special Interest Group of Australia on Computer-Human Interaction, 264–271. https://doi.org/10.1145/1952222.1952279"", ""cell"": ""Q72""}]"
C20,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,77,80,"[{""value"": ""20. Creative Evaluation Using Tri-Fold Displays"", ""cell"": ""A77""}]","[{""value"": ""Experiment"", ""cell"": ""B77""}]","[{""value"": ""At the South Texas Buckskin Brigade youth camp, participants created tri-fold displays to synthesize and visually communicate their most significant learning experiences. These displays were presented to their peers and local communities. Facilitators then analyzed the displays to extract thematic patterns of learning across participants. This creative evaluation approach encouraged self-reflection, peer-to-community knowledge sharing, and allowed educators to qualitatively assess participant outcomes in an engaging and participatory manner.\n"", ""cell"": ""C77""}]","[{""value"": ""Texas A&M AgriLife Extension (South Texas Buckskin Brigade program)"", ""cell"": ""D77""}]","[{""value"": ""Wildlife conservation youth camp, Texas, USA"", ""cell"": ""E77""}]","[{""value"": ""End of camp program (single event, no specific long-term follow-up)"", ""cell"": ""J77""}]","[{""value"": ""Youth participants of the South Texas Buckskin Brigade camp"", ""cell"": ""K77""}]","[{""value"": ""Facilitators/educators observed, analyzed the displays, categorized themes of learning"", ""cell"": ""L77""}]","[{""value"": ""Qualitative "", ""cell"": ""M77""}]","[{""value"": ""visual documentation (displays)"", ""cell"": ""N77""}, {""value"": ""thematic categorization of participant learning outcomes"", ""cell"": ""N78""}]","[{""value"": ""Low to Medium – simple creative output, open-ended participant interpretation"", ""cell"": ""O77""}]","[{""value"": ""early 2000s to mid-2000s"", ""cell"": ""P77""}]","[{""value"": ""Boleman, C. T., Rollins, D., & Pierce, L. W. (2009). Creative approach to evaluating: The tri-fold display example. 47."", ""cell"": ""Q77""}]"
C21,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,81,85,"[{""value"": ""21. Repeated Exposure to an Automobile Design Prototype"", ""cell"": ""A81""}]","[{""value"": ""Prototype "", ""cell"": ""B81""}]","[{""value"": ""In this study, Coughlan and Mashman explored how repeated exposure influences aesthetic appreciation of an automobile prototype. Participants first evaluated the design, maintained daily audio diaries of their impressions, and joined initial focus groups. After three months, they reassessed the design in a second session and reflected again through group discussions. The findings revealed that aesthetic appreciation often increased with familiarity, providing valuable insights for design evaluation strategies that account for temporal perception shifts.\n"", ""cell"": ""C81""}]","[{""value"": ""Collaboration between IDEO and University of California, San Diego"", ""cell"": ""D81""}]","[{""value"": ""USA"", ""cell"": ""E81""}]","[{""value"": ""Two sessions separated by a 3-month gap (with daily reflections during the first 3-4 days)"", ""cell"": ""J81""}]","[{""value"": ""30 automobile owners (target consumers familiar with Japanese car brands)"", ""cell"": ""K81""}]","[{""value"": ""Facilitators of exposure sessions, data collectors, analysts of aesthetic evaluation patterns"", ""cell"": ""L81""}]","[{""value"": ""Qualitative "", ""cell"": ""M81""}, {""value"": ""Quantitative "", ""cell"": ""M83""}]","[{""value"": ""audio reflections"", ""cell"": ""N81""}, {""value"": ""focus group data"", ""cell"": ""N82""}, {""value"": ""questionnaires"", ""cell"": ""N83""}]","[{""value"": ""Medium to High (longitudinal tracking, subjective perception measurement)"", ""cell"": ""O81""}]","[{""value"": 1996, ""cell"": ""P81""}]","[{""value"": ""Coughlan, P., & Mashman, R. (1999). Once is not enough: Repeated exposure to and aesthetic evaluation of an automobile design prototype. Design Studies, 20(6). https://www.researchgate.net/publication/245154288_Once_is_not_enough_Repeated_exposure_to_and_aesthetic_evaluation_of_an_automobile_design_prototype"", ""cell"": ""Q81""}]"
P01,Participatory evaluation,Participatory evaluation cases.xlsx,Participatory Evaluation cases,2,5,"[{""value"": ""1. Deep South Network for Cancer Control (DSN)"", ""cell"": ""A2""}]","[{""value"": ""Community-Based Participatory Evaluation / Health Equity Intervention"", ""cell"": ""B2""}]","[{""value"": ""The Deep South Network for Cancer Control (DSN) was a community–academic partnership led by the University of Alabama at Birmingham to address cancer disparities in underserved African American communities across Alabama and Mississippi. Through the recruitment and training of Community Health Advisors (CHAs), the program implemented culturally grounded health interventions and engaged local communities in the participatory evaluation of their impact. Evaluation included both tracking health behavior outcomes and collecting feedback from community members to guide ongoing adaptation and learning.\n"", ""cell"": ""C2""}]","[{""value"": ""University of Alabama at Birmingham"", ""cell"": ""D2""}]","[{""value"": ""Underserved African-American communities in Alabama and Mississippi, USA"", ""cell"": ""E2""}]","[{""value"": ""2000–2007"", ""cell"": ""J2""}]","[{""value"": ""20 Community Coalitions (10 in each state); local health advisors; university researchers"", ""cell"": ""K2""}]","[{""value"": ""Facilitators and collaborators; guided participatory processes, co-developed evaluation tools, interpreted outcomes with community input"", ""cell"": ""L2""}]","[{""value"": ""Qualitative and Quantitative"", ""cell"": ""M2""}]","[{""value"": ""health behavior tracking"", ""cell"": ""N2""}, {""value"": ""campaign tracking"", ""cell"": ""N3""}, {""value"": ""participant feedback"", ""cell"": ""N4""}]","[{""value"": ""High – multi-county implementation, community–academic coordination, health disparities focus"", ""cell"": ""O2""}]","[{""value"": 2009, ""cell"": ""P2""}]","[{""value"": ""Scarinci, I. C., Johnson, R. E., Hardy, C., Marron, J., & Partridge, E. E. (2009). Planning and implementation of a participatory evaluation strategy: A viable approach in the evaluation of community-based participatory programs addressing cancer disparities. Evaluation and Program Planning, 32(3), 221–228. https://doi.org/10.1016/j.evalprogplan.2009.01.001"", ""cell"": ""Q2""}]"
P02,Participatory evaluation,Participatory evaluation cases.xlsx,Participatory Evaluation cases,6,9,"[{""value"": ""2. Participatory Evaluation in a Community Economic Development Organization"", ""cell"": ""A6""}]","[{""value"": ""Evaluation / Experiment in an organizational setting"", ""cell"": ""B6""}]","[{""value"": ""This case study describes a participatory evaluation conducted within a community economic development organization in a gentrifying urban neighborhood in Canada. Over 15 months, organization staff, board members, and project users co-led the evaluation process, defining questions, collecting data, and interpreting results. Facilitators from the Université de Montréal provided methodological support. The evaluation emphasized stakeholder empowerment, ownership of findings, and immediate application of results to strengthen programs and advocacy efforts."", ""cell"": ""C6""}]","[{""value"": ""Université de Montréal"", ""cell"": ""D6""}]","[{""value"": ""Anonymous community organization in Canada -  Urban neighborhood undergoing gentrification in Canada; local Community Economic Development (CED) organization"", ""cell"": ""E6""}]","[{""value"": ""Evaluation conducted over 15 months"", ""cell"": ""J6""}]","[{""value"": ""Organization staff, board members, community stakeholders, project users (beneficiaries)"", ""cell"": ""K6""}]","[{""value"": ""Facilitators and co-learners; provided methodological guidance while allowing stakeholders to control evaluation focus and interpretation\n"", ""cell"": ""L6""}]","[{""value"": ""Qualitative and Quantitative"", ""cell"": ""M6""}]","[{""value"": ""interview transcripts"", ""cell"": ""N6""}, {""value"": ""organizational documents"", ""cell"": ""N7""}, {""value"": ""meeting records"", ""cell"": ""N8""}, {""value"": ""user feedback"", ""cell"": ""N9""}]","[{""value"": ""High – participatory governance structure, multiple stakeholder interests, organizational change dynamics"", ""cell"": ""O6""}]","[{""value"": ""early 1990s"", ""cell"": ""P6""}]","[{""value"": ""Papineau, D., & Kiely, M. C. (1995). Participatory evaluation in a community organization: fostering stakeholder empowerment and utilization. Evaluation and Program Planning, 18(1), 79–93."", ""cell"": ""Q6""}]"
P03,Participatory evaluation,Participatory evaluation cases.xlsx,Participatory Evaluation cases,10,13,"[{""value"": ""3. County Day Care Council"", ""cell"": ""A10""}]","[{""value"": ""Experiment/Service Improvement in Childcare"", ""cell"": ""B10""}]","[{""value"": ""A participatory evaluation conducted with a county day care council, involving directors and council members in framing questions, collecting data, and interpreting results collaboratively. The evaluation aimed to improve the coordination and effectiveness of childcare services and to enhance the council’s public image. The process prioritized stakeholder empowerment and practical use of findings.\n"", ""cell"": ""C10""}]","[{""value"": ""Local County Day Care Council (specific institution anonymized)"", ""cell"": ""D10""}]","[{""value"": ""County-level network of daycare centers, United States"", ""cell"": ""E10""}]","[{""value"": ""Conducted over approximately one year (specific months not stated)"", ""cell"": ""J10""}]","[{""value"": ""Directors of daycare centers, council members, community stakeholders"", ""cell"": ""K10""}]","[{""value"": ""Facilitator, methodological coach, supporter of stakeholder-driven evaluation"", ""cell"": ""L10""}]","[{""value"": ""Primarily qualitative"", ""cell"": ""M10""}]","[{""value"": ""stakeholder perspectives"", ""cell"": ""N10""}, {""value"": ""simple aggregated survey data"", ""cell"": ""N11""}]","[{""value"": ""Medium – networked service organizations, moderate organizational complexity"", ""cell"": ""O10""}]","[{""value"": ""Early 1980s"", ""cell"": ""P10""}]","[{""value"": ""Greene, J. C. (1986). Participatory Evaluation and the Evaluation of Social Programs: Lessons Learned from the Field. Evaluation Review, 10(3), 372–387."", ""cell"": ""Q10""}]"
P04,Participatory evaluation,Participatory evaluation cases.xlsx,Participatory Evaluation cases,14,17,"[{""value"": ""4. City Youth Bureau"", ""cell"": ""A14""}]","[{""value"": ""Experiment/Youth Services Program"", ""cell"": ""B14""}]","[{""value"": ""A participatory evaluation with a municipal youth bureau aimed at assessing the effectiveness of youth programs. Staff members collaboratively identified evaluation questions, collected data, and interpreted findings, which directly informed the restructuring of youth activities to better meet local needs. The process was structured to empower staff ownership of both the evaluation and subsequent program improvements.\n"", ""cell"": ""C14""}]","[{""value"": ""Municipal City Youth Bureau (specific city anonymized)"", ""cell"": ""D14""}]","[{""value"": ""Urban municipal youth services bureau, United States"", ""cell"": ""E14""}]","[{""value"": ""Conducted over about one year (specific months not stated)"", ""cell"": ""J14""}]","[{""value"": ""Bureau staff, youth workers, youth program coordinators"", ""cell"": ""K14""}]","[{""value"": ""Facilitator, guide for participatory processes, analysis support"", ""cell"": ""L14""}]","[{""value"": ""Qualitative "", ""cell"": ""M14""}]","[{""value"": ""staff-generated data"", ""cell"": ""N14""}, {""value"": ""program participation metrics"", ""cell"": ""N15""}, {""value"": ""stakeholder reflections\n"", ""cell"": ""N16""}]","[{""value"": ""Medium – municipal bureaucracy context, multi-program environment"", ""cell"": ""O14""}]","[{""value"": ""Early 1980s"", ""cell"": ""P14""}]","[{""value"": ""Greene, J. C. (1986). Participatory Evaluation and the Evaluation of Social Programs: Lessons Learned from the Field. Evaluation Review, 10(3), 372–387.\n"", ""cell"": ""Q14""}]"
P05,Participatory evaluation,Participatory evaluation cases.xlsx,Participatory Evaluation cases,18,21,"[{""value"": ""5. Participatory Monitoring & Evaluation Workshop in Siaya"", ""cell"": ""A18""}]","[{""value"": ""Workshop"", ""cell"": ""B18""}]",[],"[{""value"": ""CARE/Kenya – SHEWAS Project, with support from PROWWESS (RWSG-EA), KWAHO, NETWAS, Western Kenya-Finland Western Water Supply Program"", ""cell"": ""D18""}]","[{""value"": ""Siaya, Western Kenya (rural communities)"", ""cell"": ""E18""}]","[{""value"": ""February 1992"", ""cell"": ""J18""}]","[{""value"": ""Staff of SHEWAS, local PRA team members, community representatives, NGOs, local Ministry officers (Water Development, Health, Social Services)"", ""cell"": ""K18""}]","[{""value"": ""Facilitators (Ron Sawyer, Rose Mulama, and network trainers) designed and led participatory workshops and capacity building"", ""cell"": ""L18""}]","[{""value"": ""Qualitative "", ""cell"": ""M18""}]","[{""value"": ""workshop discussions"", ""cell"": ""N18""}, {""value"": ""participatory tool applications"", ""cell"": ""N19""}, {""value"": ""community feedback"", ""cell"": ""N20""}]","[{""value"": ""High – multi-stakeholder, rural marginalization, participatory method refinement"", ""cell"": ""O18""}]","[{""value"": 1992, ""cell"": ""P18""}]","[{""value"": ""Narayan, D. (1994). Participatory evaluation: Tools for managing change in water and sanitation (World Bank Technical Paper WTP 20; World Bank Technical Paper|no. WTP 207 Washington, DC : The World Bank.). World Bank technical paper|no. WTP 207 Washington, DC : The World Bank. https://documents.worldbank.org/en/publication/documents-reports/documentdetail/en/663531468779670401"", ""cell"": ""Q18""}]"
