stage_id,case_id,ordinal,row,stage,aim,methods,practices,stage_cell,aim_cell,methods_cell,practices_cell
C05-S05,C05,5,18,Reflection & Exhibition	,Participants wrote a short reflection; works and videos were exhibited for public viewing.	,One-paragraph reflection + curated exhibition	,"Reflection-in-action, public display as evaluation loop",F18,G18,H18,I18
C06-S01,C06,1,19,Framing,Framed as an interactive art piece exploring emotional feedback through movement and interpretation.	,Artistic concept presentation; no predefined functionality given to users	,"Speculative framing, ambiguous prototyping",F19,G19,H19,I19
C06-S02,C06,2,20,Exploration & Interaction,Groups of 2–4 users interacted freely with the installation while being observed.	,"Co-discovery adaptation (no task), group observation, emotional expression logging	","Experience design, interpretive use observation",F20,G20,H20,I20
C06-S03,C06,3,21,Open-ended Interview	,"Group interviews focused on users’ reactions, interpretations, and emotional responses.	","Open-ended group interviews, video-recorded sessions	",Concept-building from user interpretation,F21,G21,H21,I21
C06-S04,C06,4,22,Redesign Feedback	,"Based on participant insights, redesign suggestions were made (e.g. shifting bodily interaction modes).	","Reflexive analysis by researchers, reconfiguration of expressive modalities	",Design iteration based on user theories,F22,G22,H22,I22
C07-S01,C07,1,23,Framing,"Introduced as an exploratory, ludic art installation; users entered with no fixed goal	","Exhibition framing, brief contextual introduction	","Ludic framing, conceptual immersion",F23,G23,H23,I23
C07-S02,C07,2,24,Observation (Shadowing)	,Participants were followed and observed while interacting with the installation	,"Shadowing, observation notes	","Cultural probes, in-situ interaction analysis",F24,G24,H24,I24
C07-S03,C07,3,25,Questionnaire + Discussion,Participants completed a written form about their experience; some engaged in informal conversation	,"Written questionnaire, open discussion	","Reflection-in-action, post-experience reflection",F25,G25,H25,I25
C08-S01,C08,1,26,Framing,Evaluated multiple artworks under the lens of ludic engagement; works curated by the conference	,"Conference framing, thematic context	","Curatorial framing, conceptual orientation",F26,G26,H26,I26
C08-S02,C08,2,27,Observation,Participants were observed engaging with installations	,"Shadowing, fly-on-the-wall observation	","Situated feedback, observation interpretation",F27,G27,H27,I27
C08-S03,C08,3,28,Questionnaire + Discussion,Participants responded to written forms and informal interviews	,"Written questionnaires, informal conversations	","Expert reflection, comparative insight gathering",F28,G28,H28,I28
C08-S04,C08,4,29,Comparative Reflection	,Authors compared interpretations between expert and general audiences from both exhibitions	,"Grounded theory coding, interpretation triangulation	","Cross-case analysis, community-informed synthesis",F29,G29,H29,I29
C09-S01,C09,1,30,Initial Workshops and Brainstorming	,"Artists engaged in free association, thematic exploration, and personal storytelling exercises.	","Group brainstorming sessions, reflective prompts	","Participatory idea generation, theme co-creation",F30,G30,H30,I30
C09-S02,C09,2,31,Development Phase	,"Participants created individual and collective works across media (sound, sculpture, text, performance).	","Co-creation workshops, material exploration sessions	","Collaborative prototyping, interdisciplinary making",F31,G31,H31,I31
C09-S03,C09,3,32,Creation of Works	,The different art pieces were assembled into a unified interactive installation.	,"Hands-on construction workshops, rehearsals, curatorial meetings	","Narrative structuring, spatial storytelling",F32,G32,H32,I32
C09-S04,C09,4,33,Public Exhibition and Performance	,Presented the works through an interactive installation and live performances at a public event.	,"Exhibition setup, performance facilitation, audience engagement	","User experience design, live feedback integration",F33,G33,H33,I33
C09-S05,C09,5,34,Reflection	,Artists and audiences reflected on the meaning and impact of the works post-performance.	,"Informal discussion circles, documentation of impressions	","Reflection-in-action, qualitative feedback capture",F34,G34,H34,I34
C10-S01,C10,1,35,Initial Engagement and Framing	,Recruited and welcomed participants; framed workshops around self-expression and inclusive participation	,"Onboarding sessions, introduction workshops	","Participatory framing, accessibility-centered design",F35,G35,H35,I35
C10-S02,C10,2,36,Creative Exploration	,"Participants engaged in writing, drawing, and movement exercises to explore ideas and emotions	","Free writing prompts, visual arts exploration, movement games	","Sensitizing exercises, embodied ideation",F36,G36,H36,I36
C10-S03,C10,3,37,Art-Making and Development	,Participants created individual and collective pieces across different artistic media	,"Collaborative art-making sessions, workshop series	","Prototyping, narrative building, multi-modal expression",F37,G37,H37,I37
C10-S04,C10,4,38,Sharing and Reflection	,Participants shared works-in-progress and completed pieces; discussed personal and collective journeys	,"Sharing circles, feedback sessions, informal showcases	","Reflective practice, community storytelling",F38,G38,H38,I38
C11-S01,C11,1,39,Concept Framing and Exploration	,"Artists explored the theme of comfort, its impulses and sensations, through discussions and improvisation exercises.	","Group discussions, movement improvisation, thematic exploration	","Sensitizing activities, narrative framing",F39,G39,H39,I39
C11-S02,C11,2,40,Creative Development Workshops	,"Collaborative devising of scenes, movements, textual expressions, and digital projection elements.	","Creative writing, physical theatre, digital media exploration	","Collaborative prototyping, interdisciplinary co-creation",F40,G40,H40,I40
C11-S03,C11,3,41,Rehearsals and Production	,"Integration of artistic elements into a cohesive immersive work, refining performances.	","Technical rehearsals, staging, digital media integration workshops	","Immersive environment building, experience prototyping",F41,G41,H41,I41
C11-S04,C11,4,42,Public Presentation	,"Live performance of SOLACE at Carriageworks, inviting public interaction and interpretation.	","Performance event, audience engagement	","Audience-centered performance, live feedback gathering",F42,G42,H42,I42
C11-S05,C11,5,43,Reflection,"Post-performance reflections on personal growth, creative achievements, and impact.	","Group discussions, informal debriefings	","Reflective practice, community storytelling",F43,G43,H43,I43
C12-S01,C12,1,44,Curation and Preparation	,Selected and curated photographs and video works spanning 1999–2022; added works from DUST and WATERLOO projects	,"Archive curation, collaborative selection, storytelling framing	","Co-curation, participatory memory mapping",F44,G44,H44,I44
C12-S02,C12,2,45,Exhibition Setup	,"Installed the exhibition at 107 Projects Redfern, adapted from original Vandal Gallery version	","Spatial design, multimedia setup	","Exhibition design, visual storytelling",F45,G45,H45,I45
C12-S03,C12,3,46,Community Engagement Events	,"Hosted Opening Night (speeches and music), Open Mic Night, and Artist Q&A to facilitate dialogue and reflection	","Public events facilitation, participatory speaking spaces	","Community building, dialogic engagement",F46,G46,H46,I46
C12-S04,C12,4,47,Reflection	,Reflections shared during events and captured through community presence and feedback	,"Informal reflection circles, event observations	","Collective storytelling, relational evaluation",F47,G47,H47,I47
C13-S01,C13,1,48,Planning and Outreach	,Organized logistics and outreach to regional communities and partner organizations	,"Itinerary planning, partnership coordination	","Stakeholder engagement, participatory outreach",F48,G48,H48,I48
C13-S02,C13,2,49,Workshop Facilitation	,Delivered PROCESS (material making) and PRACTICE (embodied play) workshops across five regions	,"Collaborative art workshops, inclusive embodied practices	","Participatory storytelling, embodied prototyping",F49,G49,H49,I49
C13-S03,C13,3,50,Participant Feedback Collection	,Gathered participant feedback on skills learned and collaborative strategies	,"Post-workshop surveys, verbal reflections	","Rapid feedback loops, participatory evaluation",F50,G50,H50,I50
C13-S04,C13,4,51,Reflection	,"Reflected internally on successes, participant responses, and future regional engagement plans	","Team debriefs, informal impact assessment	","Iterative program design, capacity-building analysis",F51,G51,H51,I51
C14-S01,C14,1,52,Skills Development (HEADWAY)	,"Provided workshops on self-producing, planning, budgeting, critical reflection, evaluation, and self-care	","Skills-building workshops, planning exercises, reflective sessions	","Capacity building, creative identity formation",F52,G52,H52,I52
C14-S02,C14,2,53,Creative Project Development (GENERATE)	,Supported Collaborative Artists to develop individual self-directed creative projects	,"Makerspace residencies, mentorship sessions, dramaturgical support	","Participatory prototyping, personalized project development",F53,G53,H53,I53
C14-S03,C14,3,54,In-house Sharing	,Artists presented works-in-progress to peers and facilitators for constructive feedback	,"Internal sharing events, feedback circles	","Safe space evaluation, peer-driven critique",F54,G54,H54,I54
C14-S04,C14,4,55,Reflection	,"Artists reflected on their creative growth, self-confidence, and stress management capacities	","Verbal reflections, feedback surveys	","Reflective practice, empowerment tracking",F55,G55,H55,I55
C15-S01,C15,1,56,Story Selection and Development	,Participants collaboratively selected and developed a screenplay.	,"Story brainstorming sessions, screenplay writing	","Participatory ideation, narrative prototyping",F56,G56,H56,I56
C15-S02,C15,2,57,Filmmaking Workshops	,Filmed scenes collaboratively using smartphones.	,"Smartphone camera training, team shooting sessions	","Digital making, hands-on co-creation",F57,G57,H57,I57
C15-S03,C15,3,58,Editing and Post-Production	,"Edited the short film as a group, refining story structure and visuals.	",Collaborative editing workshops	,"Iterative refinement, digital storytelling",F58,G58,H58,I58
C15-S04,C15,4,59,Public Screening	,"Screened the completed short film Let Him Out at the SF3 Film Festival, winning Best Lead Actor.	","Film festival submission, public audience engagement	","Public validation, community visibility",F59,G59,H59,I59
C16-S01,C16,1,60,Storytelling Exploration	,Participants explored creative storytelling frameworks and personal narrative ideas.	,"Brainstorming sessions, narrative mapping	","Sensitizing exercises, inclusive ideation",F60,G60,H60,I60
C16-S02,C16,2,61,Skill Development in Writing	,Structured exercises to build storytelling and scriptwriting skills step-by-step.	,"Creative writing workshops, peer discussions	","Iterative script development, skills scaffolding",F61,G61,H61,I61
C16-S03,C16,3,62,Script Crafting	,Participants developed original scripts with support from facilitators.	,"Drafting sessions, guided feedback	","Participatory co-creation, user-centered writing",F62,G62,H62,I62
C16-S04,C16,4,63,Reflection,Participants reflected on creative growth and increased writing confidence.	,"Group discussions, personal storytelling exercises	","Reflective practice, empowerment-focused learning",F63,G63,H63,I63
C17-S01,C17,1,64,Movement Exploration	,Participants engaged in movement-based exploration activities.	,"Physical games, movement improvisation	","Embodied ideation, physical literacy development/ Body storming",F64,G64,H64,I64
C17-S02,C17,2,65,Improvisation Exercises	,Practiced off-the-cuff theatre games and improvisation scenes.	,Theatre improvisation games	,"Collaborative co-creation, play-based learning",F65,G65,H65,I65
C17-S03,C17,3,66,Performance Games	,Developed short improvisational performances in groups.	,Team-based acting games	,"Rapid prototyping, collective expression",F66,G66,H66,I66
C17-S04,C17,4,67,Reflection	,"Reflected on personal growth in confidence, creativity, and group connection.	","Observational feedback, informal group discussions	","Reflective practice, confidence tracking",F67,G67,H67,I67
C18-S01,C18,1,68,Preparation and Framing	,Framed the symposium objectives around collaboration and social change; introduced project guidelines.	,"Course briefings, interdisciplinary team formation	","Collaborative planning templates, project scoping tools	",F68,G68,H68,I68
C18-S02,C18,2,69,Interdisciplinary Collaboration and Production	,Students collaboratively developed creative projects responding to social change themes.	,"Group projects (zines, artworks, blogs, proposals); online forums	","Co-creation platforms, participatory art practices	",F69,G69,H69,I69
C18-S03,C18,3,70,Presentation and Exhibition	,Students presented their creative projects in a symposium event open to the university community.	,"Public exhibitions, blog presentations, participatory sessions	","Exhibit design tools, presentation planning aids	",F70,G70,H70,I70
C18-S04,C18,4,71,Reflection and Assessment	,"Students reflected on their learning, collaboration, and creative processes; feedback was collected.	","Reflective journals, peer assessments, pre- and post-surveys	","Reflective mapping tools, peer feedback templates	",F71,G71,H71,I71
C19-S01,C19,1,72,Experimental Design Setup	,Set up four experimental conditions to test different variables affecting creativity.	,Controlled experimental design; participant randomization	,Creative method scenario planning; participant grouping templates	,F72,G72,H72,I72
C19-S02,C19,2,73,Creative Task Execution	,Students performed creative ideation tasks using the BadIdeas Method under different conditions.	,BadIdeas exercises; group and individual ideation sessions	,BadIdeas creative prompting sheets; brainstorming facilitation tools	,F73,G73,H73,I73
C19-S03,C19,3,74,Data Collection	,Gathered data on quantity and quality of ideas; participant enjoyment and learning.	,"Idea counting, novelty/appropriateness scoring; post-task surveys	",Idea quality rating scales; reflective survey tools	,F74,G74,H74,I74
C19-S04,C19,4,75,Analysis using Value Metric	,Combined multiple measures into a single Value Metric to assess overall effectiveness.	,Value Metric computation (combining scores)	,Composite impact evaluation model	,F75,G75,H75,I75
C19-S05,C19,5,76,Reflection,"Reflected on method performance, participant responses, and insights for future creative method evaluation.	",Comparative analysis; discussion of experimental findings	,Evaluation synthesis framework	,F76,G76,H76,I76
C20-S01,C20,1,77,Creative Display Development	,Participants synthesized their most important learning outcomes onto tri-fold displays.	,"Tri-Fold poster boards, creative self-expression	",Visual storytelling boards	,F77,G77,H77,I77
C20-S02,C20,2,78,Presentation to Community	,"Participants presented their displays to peers, educators, and local communities.	","Informal presentation sessions, community exhibitions	",Informal community exhibition	,F78,G78,H78,I78
C20-S03,C20,3,79,Analysis of Themes	,Educators analyzed the content of displays to identify common learning themes.	,Thematic categorization of visual outputs	,"Creative synthesis templates, theme identification	",F79,G79,H79,I79
C20-S04,C20,4,80,Reflection,"Reflective discussions among facilitators about successes, limitations, and participant engagement.	","Informal educator debriefs, synthesis of evaluation observations	",Reflective feedback templates	,F80,G80,H80,I80
C21-S01,C21,1,81,Initial Aesthetic Evaluation	,Participants viewed the prototype and completed immediate evaluation surveys.	,"Initial observation, questionnaires	",Structured aesthetic evaluation surveys	,F81,G81,H81,I81
C21-S02,C21,2,82,Daily Reflection via Audio Diaries	,Participants recorded daily audio notes about their changing perceptions over 3–4 days.	,Personal audio diaries	,Voice diary recording templates	,F82,G82,H82,I82
C21-S03,C21,3,83,Focus Group Reflection	,Group discussions were held to reflect on initial reactions and short-term changes.	,Facilitated focus groups	,Group discussion frameworks	,F83,G83,H83,I83
C21-S04,C21,4,84,Delayed Re-exposure Evaluation	,"After 3 months, participants viewed the fully integrated prototype and repeated evaluations.	","Second observation session, questionnaires	",Comparative evaluation protocols	,F84,G84,H84,I84
C21-S05,C21,5,85,Final Reflection and Focus Groups	,"Participants discussed their final impressions, comparing initial and delayed reactions.	","Final focus groups, verbal feedback collection	",Focus group synthesis guides	,F85,G85,H85,I85
P01-S01,P01,1,2,Planning,Identified community needs; established community–academic partnerships and recruited CHAs across 20 counties	,"Community advisory boards, county assessments, CHA recruitment	","Stakeholder mapping, collaborative scoping",F2,G2,H2,I2
P01-S02,P01,2,3,Implementation,"Launched health promotion activities like the WALK campaign, breast and cervical cancer outreach, and nutrition work	","Locally led campaigns, education events, faith-based outreach	","Co-design of interventions, culturally adapted delivery",F3,G3,H3,I3
P01-S03,P01,3,4,Participatory Evaluation	,Engaged CHAs and community members in tracking outcomes and reporting local progress	,"Local reporting systems, CHA feedback, partnership meetings	","Feedback loops, community data sensemaking",F4,G4,H4,I4
P01-S04,P01,4,5,Outcomes and Feedback	,"Used findings to guide program expansion, advocacy, and academic reporting	","Pre/post data analysis, narrative outcomes, shared learning	","Iterative program refinement, participatory metrics",F5,G5,H5,I5
P02-S01,P02,1,6,Framing and Partnership Building,Established trust with organizational members; set participatory principles for the evaluation process	,"Initial workshops, participatory scoping, mutual agreement on roles	","Trust building, shared ownership framing",F6,G6,H6,I6
P02-S02,P02,2,7,Co-planning of Evaluation	,Stakeholders collectively defined evaluation questions and criteria	,"Co-design workshops, brainstorming sessions	","Participatory planning, priority setting",F7,G7,H7,I7
P02-S03,P02,3,8,Data Collection and Analysis	,Staff and members participated in interviews and document analysis; preliminary results discussed collectively	,"Training on data collection, semi-structured interviews, document review	","Capacity building, community research involvement",F8,G8,H8,I8
P02-S04,P02,4,9,Utilization of Results	,"Evaluation findings used to strengthen programs, advocate for funding, and enhance organizational strategies	","Feedback meetings, action plans based on results	","Utilization-focused evaluation, participatory reporting",F9,G9,H9,I9
P03-S01,P03,1,10,Problem Framing,Defined program goals and evaluation needs collaboratively among stakeholders	,"Workshops, collaborative goal-setting	","Participatory framing, shared purpose",F10,G10,H10,I10
P03-S02,P03,2,11,Collaborative Question Development	,Stakeholders co-developed the main evaluation questions based on local concerns	,"Group brainstorming, structured facilitation sessions	","Question co-design, stakeholder prioritization",F11,G11,H11,I11
P03-S03,P03,3,12,Data Collection and Analysis	,Stakeholders collected basic data and analyzed findings together	,"Simple surveys, collective interpretation meetings	","Participatory research, group analysis",F12,G12,H12,I12
P03-S04,P03,4,13,Action Based on Findings	,"Used results to adjust operations, enhance coordination, and improve public communication	",Application planning sessions	,Focused planning,F13,G13,H13,I13
P04-S01,P04,1,14,Problem Identification	,Identified core issues in youth service delivery collaboratively	,"Stakeholder meetings, facilitated discussion groups	",Participatory needs mapping,F14,G14,H14,I14
P04-S02,P04,2,15,Collaborative Definition of Success	,Developed shared criteria for what would count as program success	,"Success mapping workshops, group visioning	","Goal co-definition, success mapping",F15,G15,H15,I15
P04-S03,P04,3,16,Data Collection and Analysis	,Staff collected program participation data and collaborated in data interpretation	,"Simple monitoring tools, analysis workshops	","Capacity building, data democratization",F16,G16,H16,I16
P04-S04,P04,4,17,Application for Program Planning	,Used evaluation results to reorganize youth activities and refine service offerings	,Action planning meetings	,Utilization-driven adaptation,F17,G17,H17,I17
P05-S01,P05,1,18,Pre-Planning Workshop	,Designed the participatory evaluation framework and trained facilitators in Nairobi.	,"Pre-workshop planning sessions, training-of-trainers	","Collaborative session planning templates, facilitator mapping tools	",F18,G18,H18,I18
P05-S02,P05,2,19,Participatory Monitoring and Evaluation Training	,"Reviewed initial PRA experience, identified problems, and introduced participatory tools.	","Poster analysis exercises, introduction to Pocket Charts (Participatory survey tool using a physical board with pockets representing different categories	), Three-Pile Sorting (Participatory classification exercise using cards or images sorted into three piles), Flexiflans (Storytelling and scenario-building tool using felt boards and movable paper cutouts of people, houses, objects)	","Pocket Chart boards, participatory sorting templates, storytelling cutouts (Flexiflans)	",F19,G19,H19,I19
P05-S03,P05,3,20,Field Testing of New Tools	,Applied new participatory evaluation tools in the field with communities.	,"Pocket Chart voting, storytelling with Flexiflans	","Visual voting setups (Pocket Charts), narrative co-creation props (Flexiflans)	",F20,G20,H20,I20
P05-S04,P05,4,21,Reflection and Alternative Planning	,Analyzed field experiences and designed adjusted PRA approaches to improve inclusivity and ownership.	,"Group analysis sessions, alternative planning meetings	","Decision-mapping tools, simplified community planning charts	",F21,G21,H21,I21
P06-S01,P06,1,22,Site Visits	,Children visited existing parks and nature centers to explore and observe.	,Observational tours	,"Observational templates, site mapping sheets	",F22,G22,H22,I22
P06-S02,P06,2,23,Surveys with Children	,Surveys conducted with children to gather direct feedback on their experiences.	,"Simple, child-friendly survey forms	",Creative question templates	,F23,G23,H23,I23
P06-S03,P06,3,24,Focus Group Discussions	,Facilitated group discussions with children about preferences and experiences.	,Moderated focus group discussions	,Conversation guides	,F24,G24,H24,I24
P06-S04,P06,4,25,Synthesis into Design Principles	,Aggregated findings used to inform interpretive themes for the new center.	,Thematic synthesis	,Interpretive planning frameworks	,F25,G25,H25,I25
P07-S01,P07,1,26,Pre-Prototype Interviews	,Interviewed visitors to document initial misconceptions about scientific phenomena.	,Structured interviews	,Misconception tracking matrices	,F26,G26,H26,I26
P07-S02,P07,2,27,Exhibit Prototyping	,Created early exhibit models based on learning objectives.	,Prototype exhibit construction	,Interactive exhibit modules	,F27,G27,H27,I27
P07-S03,P07,3,28,Post-Prototype Interviews	,Interviewed visitors again after experiencing the prototypes to assess learning.	,Follow-up interviews	,Comparative learning assessment tools	,F28,G28,H28,I28
P07-S04,P07,4,29,Exhibit Adjustment	,Adjusted exhibits based on findings from visitor learning analysis.	,Iterative redesign processes	,Prototyping refinement frameworks	,F29,G29,H29,I29
P08-S01,P08,1,30,Archival Data Identification	,"Selected existing sources like guest books, gift shop purchase records, donation logs.	",Review of archival visitor-generated data	,Data extraction templates for archives	,F30,G30,H30,I30
P08-S02,P08,2,31,Data Analysis (Spatial and Demographic Profiling)	,Analyzed postal codes to infer visitor demographics and spatial reach.	,"Spatial analysis, demographic cross-referencing	","spatial mapping tools, demographic analysis models",F31,G31,H31,I31
P08-S03,P08,3,32,Program Adjustment	,Used insights to evaluate reach of programs and adjust targeting if necessary.	,Strategic interpretation of findings	,Audience segmentation and strategic planning tools	,F32,G32,H32,I32
P09-S01,P09,1,33,Survey Board Setup	,Placed large easel boards with open-ended questions about exhibit content.	,"Easel boards, pens, sticky notes	",Interactive participatory displays	,F33,G33,H33,I33
P09-S02,P09,2,34,Participant Response Collection	,Visitors responded individually to posted questions using sticky notes.	,"Sticky notes, free-response feedback collection	",Sticky note response systems	,F34,G34,H34,I34
P09-S03,P09,3,35,Peer Interaction	,"Visitors read and responded to each other's notes, fostering dialogue.	","Open, cumulative sticky note boards	",Visitor interaction spaces	,F35,G35,H35,I35
P09-S04,P09,4,36,Data Compilation	,Compiled and categorized participant responses to identify key insights.	,Manual coding and thematic grouping	,Response analysis templates	,F36,G36,H36,I36
P09-S05,P09,5,37,Exhibit Redesign	,Used visitor feedback to modify and improve scientific exhibit content and presentation.	,Strategic redesign based on participant feedback	,Content and display redesign frameworks	,F37,G37,H37,I37
P10-S01,P10,1,38,Orientation and Prompting	,The evaluator explains the talk-aloud method and prompts participant to verbalize thoughts.	,"Brief participant instruction, verbal prompting	",Talk-aloud protocol guides	,F38,G38,H38,I38
P10-S02,P10,2,39,Talk-Aloud Walkthrough	,Participant walks through the exhibit while verbalizing thoughts and reactions.	,Guided verbal protocol recording	,Reaction recording templates	,F39,G39,H39,I39
P10-S03,P10,3,40,Data Collection	,The evaluator records participant verbalizations and observes behaviors and emotions.	,"Audio recording, written observational notes	","Field notes templates, audio transcripts	",F40,G40,H40,I40
P10-S04,P10,4,41,Analysis for Formative or Summative Use	,Data are analyzed to inform either exhibit refinement (formative) or impact assessment (summative).	,Thematic and emotional analysis	,Formative evaluation frameworks	,F41,G41,H41,I41
