case_id,dimension,term_id,term,source_cell,raw_value,rule
C01,methods,methods:criteria for “immediate,criteria for “immediate,H5,"Reflection-in-action documentation; criteria for “immediate, sustained, and creative” engagement	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:sustained,sustained,H5,"Reflection-in-action documentation; criteria for “immediate, sustained, and creative” engagement	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:and creative” engagement,and creative” engagement,H5,"Reflection-in-action documentation; criteria for “immediate, sustained, and creative” engagement	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,data_source,data_source:observational data,observational data,N2,observational data,trim whitespace; case-insensitive key
C01,data_source,data_source:interview transcripts,interview transcripts,N3,interview transcripts,trim whitespace; case-insensitive key
C01,data_source,data_source:behavioral tracking,behavioral tracking,N4,behavioral tracking,trim whitespace; case-insensitive key
C01,stage,stage:framing & planning,Framing & Planning,F2,Framing & Planning,trim whitespace; case-insensitive key
C01,stage,stage:data collection & observation,Data Collection & Observation,F3,Data Collection & Observation,trim whitespace; case-insensitive key
C01,stage,stage:analysis & interpretation,Analysis & Interpretation,F4,Analysis & Interpretation,trim whitespace; case-insensitive key
C01,stage,stage:output & learning,Output & Learning,F5,Output & Learning,trim whitespace; case-insensitive key
C01,institution,"institution:creativity and cognition studios. university of technology, sydney","Creativity and Cognition Studios. University of Technology, Sydney",D2,"Creativity and Cognition Studios.
University of Technology, Sydney",trim whitespace; case-insensitive key
C01,data_type,data_type:qualitative,Qualitative,M2,Qualitative ,trim whitespace; case-insensitive key
C01,type,type:experiment,Experiment,B2,Experiment,trim whitespace; case-insensitive key
C02,practices,practices:co-briefing,Co-briefing,I6,"Co-briefing, interdisciplinary framing",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,practices,practices:interdisciplinary framing,interdisciplinary framing,I6,"Co-briefing, interdisciplinary framing",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,practices,practices:team mapping,Team mapping,I7,"Team mapping, reflexive sessions",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,practices,practices:reflexive sessions,reflexive sessions,I7,"Team mapping, reflexive sessions",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,practices,practices:experience mapping,Experience mapping,I8,"Experience mapping, co-design evaluation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,practices,practices:co-design evaluation,co-design evaluation,I8,"Experience mapping, co-design evaluation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,methods,methods:team setup discussions,Team setup discussions,H6,"Team setup discussions, common goal alignment",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,methods,methods:common goal alignment,common goal alignment,H6,"Team setup discussions, common goal alignment",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,methods,methods:observation,Observation,H7,"Observation, communication analysis, interviews	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,methods,methods:communication analysis,communication analysis,H7,"Observation, communication analysis, interviews	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,methods,methods:interviews,interviews,H7,"Observation, communication analysis, interviews	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,methods,methods:process documentation,Process documentation,H8,"Process documentation, outcome narratives	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,methods,methods:outcome narratives,outcome narratives,H8,"Process documentation, outcome narratives	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C02,data_source,data_source:communication records,communication records,N6,communication records,trim whitespace; case-insensitive key
C02,data_source,data_source:interviews,interviews,N7,interviews,trim whitespace; case-insensitive key
C02,data_source,data_source:field notes,field notes,N8,field notes,trim whitespace; case-insensitive key
C02,stage,stage:framing,Framing,F6,Framing,trim whitespace; case-insensitive key
C02,stage,stage:team evaluation,Team Evaluation,F7,Team Evaluation,trim whitespace; case-insensitive key
C02,stage,stage:output & learning,Output & Learning,F8,Output & Learning	,trim whitespace; case-insensitive key
C02,institution,"institution:creativity and cognition studios. university of technology, sydney","Creativity and Cognition Studios. University of Technology, Sydney",D6,"Creativity and Cognition Studios. 
University of Technology, Sydney",trim whitespace; case-insensitive key
C02,data_type,data_type:qualitative,Qualitative,M6,Qualitative,trim whitespace; case-insensitive key
C02,type,type:experiment / collaboration study,Experiment / Collaboration study,B6,Experiment / Collaboration study,trim whitespace; case-insensitive key
C03,practices,practices:user journey documentation,User journey documentation,I9,"User journey documentation, affective tracking",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,practices,practices:affective tracking,affective tracking,I9,"User journey documentation, affective tracking",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,practices,practices:affinity mapping,Affinity mapping,I10,"Affinity mapping, behavioral mapping",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,practices,practices:behavioral mapping,behavioral mapping,I10,"Affinity mapping, behavioral mapping",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,practices,practices:framework development,Framework development,I11,"Framework development, model building",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,practices,practices:model building,model building,I11,"Framework development, model building",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,methods,methods:structured observation,Structured observation,H9,"Structured observation, semi-structured interviews	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,methods,methods:semi-structured interviews,semi-structured interviews,H9,"Structured observation, semi-structured interviews	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,methods,methods:engagement analysis coding,Engagement analysis coding,H10,"Engagement analysis coding, pattern recognition	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,methods,methods:pattern recognition,pattern recognition,H10,"Engagement analysis coding, pattern recognition	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,methods,methods:synthesis of observational and interview data,Synthesis of observational and interview data,H11,Synthesis of observational and interview data	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C03,data_source,data_source:observation notes,observation notes,N9,observation notes,trim whitespace; case-insensitive key
C03,data_source,data_source:coded behaviors,coded behaviors,N10,coded behaviors,trim whitespace; case-insensitive key
C03,data_source,data_source:interviews,interviews,N11,interviews,trim whitespace; case-insensitive key
C03,stage,stage:data collection,Data Collection,F9,Data Collection	,trim whitespace; case-insensitive key
C03,stage,stage:analysis,Analysis,F10,Analysis,trim whitespace; case-insensitive key
C03,stage,stage:output & learning,Output & Learning,F11,Output & Learning	,trim whitespace; case-insensitive key
C03,institution,"institution:creativity and cognition studios. university of technology, sydney","Creativity and Cognition Studios. University of Technology, Sydney",D9,"Creativity and Cognition Studios. 
University of Technology, Sydney",trim whitespace; case-insensitive key
C03,data_type,data_type:qualitative,Qualitative,M9,Qualitative ,trim whitespace; case-insensitive key
C03,type,type:experiment / multi-case study,Experiment / Multi-case study,B9,Experiment / Multi-case study,trim whitespace; case-insensitive key
C04,practices,practices:design for play,Design for play,I12,"Design for play, emotional design",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C04,practices,practices:emotional design,emotional design,I12,"Design for play, emotional design",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C04,practices,practices:storytelling,Storytelling,I13,"Storytelling, narrative prototyping",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C04,practices,practices:narrative prototyping,narrative prototyping,I13,"Storytelling, narrative prototyping",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C04,methods,methods:framework conceptualization (pleasure framework),Framework conceptualization (Pleasure framework),H12,Framework conceptualization (Pleasure framework)	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C04,methods,methods:reflection-in-action,Reflection-in-action,H13,"Reflection-in-action, open-ended feedback collection	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C04,methods,methods:open-ended feedback collection,open-ended feedback collection,H13,"Reflection-in-action, open-ended feedback collection	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C04,data_source,data_source:participant feedback,participant feedback,N12,participant feedback,trim whitespace; case-insensitive key
C04,data_source,data_source:experiential descriptions,experiential descriptions,N13,experiential descriptions,trim whitespace; case-insensitive key
C04,stage,stage:framing,Framing,F12,Framing,trim whitespace; case-insensitive key
C04,stage,stage:output & learning,Output & Learning,F13,Output & Learning	,trim whitespace; case-insensitive key
C04,institution,"institution:creativity and cognition studios. university of technology, sydney","Creativity and Cognition Studios. University of Technology, Sydney",D12,"Creativity and Cognition Studios. 
University of Technology, Sydney",trim whitespace; case-insensitive key
C04,data_type,data_type:qualitative,Qualitative,M12,Qualitative ,trim whitespace; case-insensitive key
C04,type,type:tool / framework development,Tool / Framework development,B12,Tool / Framework development,trim whitespace; case-insensitive key
C05,practices,practices:contextual briefing,Contextual briefing,I14,"Contextual briefing, reframing evaluation as creation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:reframing evaluation as creation,reframing evaluation as creation,I14,"Contextual briefing, reframing evaluation as creation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:cultural probes,Cultural probes,I15,"Cultural probes, open exploration",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:open exploration,open exploration,I15,"Cultural probes, open exploration",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:performed storytelling,Performed storytelling,I16,"Performed storytelling, experiential recording",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:experiential recording,experiential recording,I16,"Performed storytelling, experiential recording",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:narrative prototyping,Narrative prototyping,I17,"Narrative prototyping, expressive sketching",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:expressive sketching,expressive sketching,I17,"Narrative prototyping, expressive sketching",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:reflection-in-action,Reflection-in-action,I18,"Reflection-in-action, public display as evaluation loop",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,practices,practices:public display as evaluation loop,public display as evaluation loop,I18,"Reflection-in-action, public display as evaluation loop",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:verbal introduction to the installation,Verbal introduction to the installation,H14,Verbal introduction to the installation; context for the evaluation approach	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:context for the evaluation approach,context for the evaluation approach,H14,Verbal introduction to the installation; context for the evaluation approach	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:first 15-minute session: interaction with installation without instructions,First 15-minute session: interaction with installation without instructions,H15,First 15-minute session: interaction with installation without instructions	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:15-minute session with camera and editing tools provided,15-minute session with camera and editing tools provided,H16,15-minute session with camera and editing tools provided	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:artistic materials provided,Artistic materials provided,H17,Artistic materials provided; free medium choice; recorded with one static camera	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:free medium choice,free medium choice,H17,Artistic materials provided; free medium choice; recorded with one static camera	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:recorded with one static camera,recorded with one static camera,H17,Artistic materials provided; free medium choice; recorded with one static camera	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,methods,methods:one-paragraph reflection + curated exhibition,One-paragraph reflection + curated exhibition,H18,One-paragraph reflection + curated exhibition	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C05,data_source,"data_source:artistic outputs (videos, artworks)","artistic outputs (videos, artworks)",N14,"artistic outputs (videos, artworks)",trim whitespace; case-insensitive key
C05,data_source,data_source:written reflections,written reflections,N15,written reflections,trim whitespace; case-insensitive key
C05,data_source,data_source:live observation,live observation,N16,live observation,trim whitespace; case-insensitive key
C05,stage,stage:framing,Framing,F14,Framing,trim whitespace; case-insensitive key
C05,stage,stage:session 1 – exploration,Session 1 – Exploration,F15,Session 1 – Exploration,trim whitespace; case-insensitive key
C05,stage,stage:session 2 – video,Session 2 – Video,F16,Session 2 – Video	,trim whitespace; case-insensitive key
C05,stage,stage:session 3 – artistic work,Session 3 – Artistic Work,F17,Session 3 – Artistic Work	,trim whitespace; case-insensitive key
C05,stage,stage:reflection & exhibition,Reflection & Exhibition,F18,Reflection & Exhibition	,trim whitespace; case-insensitive key
C05,institution,institution:graz university of technology & university of music and performing arts graz. austria,Graz University of Technology & University of Music and Performing Arts Graz. Austria,D14,"Graz University of Technology & University of Music and Performing Arts Graz.
Austria
",trim whitespace; case-insensitive key
C05,data_type,data_type:qualitative,Qualitative,M14,Qualitative ,trim whitespace; case-insensitive key
C05,type,type:experiment / method,Experiment / Method,B14,Experiment / Method,trim whitespace; case-insensitive key
C06,practices,practices:speculative framing,Speculative framing,I19,"Speculative framing, ambiguous prototyping",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,practices,practices:ambiguous prototyping,ambiguous prototyping,I19,"Speculative framing, ambiguous prototyping",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,practices,practices:experience design,Experience design,I20,"Experience design, interpretive use observation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,practices,practices:interpretive use observation,interpretive use observation,I20,"Experience design, interpretive use observation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,practices,practices:concept-building from user interpretation,Concept-building from user interpretation,I21,Concept-building from user interpretation,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,practices,practices:design iteration based on user theories,Design iteration based on user theories,I22,Design iteration based on user theories,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:artistic concept presentation,Artistic concept presentation,H19,Artistic concept presentation; no predefined functionality given to users	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:no predefined functionality given to users,no predefined functionality given to users,H19,Artistic concept presentation; no predefined functionality given to users	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:co-discovery adaptation (no task),Co-discovery adaptation (no task),H20,"Co-discovery adaptation (no task), group observation, emotional expression logging	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:group observation,group observation,H20,"Co-discovery adaptation (no task), group observation, emotional expression logging	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:emotional expression logging,emotional expression logging,H20,"Co-discovery adaptation (no task), group observation, emotional expression logging	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:open-ended group interviews,Open-ended group interviews,H21,"Open-ended group interviews, video-recorded sessions	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:video-recorded sessions,video-recorded sessions,H21,"Open-ended group interviews, video-recorded sessions	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:reflexive analysis by researchers,Reflexive analysis by researchers,H22,"Reflexive analysis by researchers, reconfiguration of expressive modalities	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,methods,methods:reconfiguration of expressive modalities,reconfiguration of expressive modalities,H22,"Reflexive analysis by researchers, reconfiguration of expressive modalities	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C06,data_source,data_source:group conversations,group conversations,N19,group conversations,trim whitespace; case-insensitive key
C06,data_source,data_source:user quotes,user quotes,N20,user quotes,trim whitespace; case-insensitive key
C06,data_source,data_source:behaviors during interaction,behaviors during interaction,N21,behaviors during interaction,trim whitespace; case-insensitive key
C06,data_source,data_source:interviews,interviews,N22,interviews,trim whitespace; case-insensitive key
C06,stage,stage:framing,Framing,F19,Framing,trim whitespace; case-insensitive key
C06,stage,stage:exploration & interaction,Exploration & Interaction,F20,Exploration & Interaction,trim whitespace; case-insensitive key
C06,stage,stage:open-ended interview,Open-ended Interview,F21,Open-ended Interview	,trim whitespace; case-insensitive key
C06,stage,stage:redesign feedback,Redesign Feedback,F22,Redesign Feedback	,trim whitespace; case-insensitive key
C06,institution,institution:swedish institute of computer science (sics) & cornell university,Swedish Institute of Computer Science (SICS) & Cornell University,D19,Swedish Institute of Computer Science (SICS) & Cornell University,trim whitespace; case-insensitive key
C06,data_type,data_type:qualitative,Qualitative,M19,Qualitative ,trim whitespace; case-insensitive key
C06,type,type:interactive art installation / experiment,Interactive art installation / Experiment,B19,Interactive art installation /  Experiment,trim whitespace; case-insensitive key
C07,practices,practices:ludic framing,Ludic framing,I23,"Ludic framing, conceptual immersion",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,practices,practices:conceptual immersion,conceptual immersion,I23,"Ludic framing, conceptual immersion",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,practices,practices:cultural probes,Cultural probes,I24,"Cultural probes, in-situ interaction analysis",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,practices,practices:in-situ interaction analysis,in-situ interaction analysis,I24,"Cultural probes, in-situ interaction analysis",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,practices,practices:reflection-in-action,Reflection-in-action,I25,"Reflection-in-action, post-experience reflection",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,practices,practices:post-experience reflection,post-experience reflection,I25,"Reflection-in-action, post-experience reflection",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,methods,methods:exhibition framing,Exhibition framing,H23,"Exhibition framing, brief contextual introduction	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,methods,methods:brief contextual introduction,brief contextual introduction,H23,"Exhibition framing, brief contextual introduction	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,methods,methods:shadowing,Shadowing,H24,"Shadowing, observation notes	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,methods,methods:observation notes,observation notes,H24,"Shadowing, observation notes	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,methods,methods:written questionnaire,Written questionnaire,H25,"Written questionnaire, open discussion	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,methods,methods:open discussion,open discussion,H25,"Written questionnaire, open discussion	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C07,data_source,data_source:field notes,field notes,N23,field notes,trim whitespace; case-insensitive key
C07,data_source,data_source:conversations,conversations,N24,conversations,trim whitespace; case-insensitive key
C07,data_source,data_source:written responses,written responses,N25,written responses,trim whitespace; case-insensitive key
C07,stage,stage:framing,Framing,F23,Framing,trim whitespace; case-insensitive key
C07,stage,stage:observation (shadowing),Observation (Shadowing),F24,Observation (Shadowing)	,trim whitespace; case-insensitive key
C07,stage,stage:questionnaire + discussion,Questionnaire + Discussion,F25,Questionnaire + Discussion,trim whitespace; case-insensitive key
C07,institution,"institution:australasian crc for interaction design, creativity and cognition studios, university of technology sydney, simon fraser university","Australasian CRC for Interaction Design, Creativity and Cognition Studios, University of Technology Sydney, Simon Fraser University",D23,"Australasian CRC for Interaction Design, Creativity and Cognition Studios, University of Technology Sydney, Simon Fraser University",trim whitespace; case-insensitive key
C07,data_type,data_type:qualitative,Qualitative,M23,Qualitative ,trim whitespace; case-insensitive key
C07,type,type:exhibition/interactive art evaluation,Exhibition/Interactive Art Evaluation,B23,Exhibition/Interactive Art Evaluation,trim whitespace; case-insensitive key
C08,practices,practices:curatorial framing,Curatorial framing,I26,"Curatorial framing, conceptual orientation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,practices,practices:conceptual orientation,conceptual orientation,I26,"Curatorial framing, conceptual orientation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,practices,practices:situated feedback,Situated feedback,I27,"Situated feedback, observation interpretation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,practices,practices:observation interpretation,observation interpretation,I27,"Situated feedback, observation interpretation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,practices,practices:expert reflection,Expert reflection,I28,"Expert reflection, comparative insight gathering",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,practices,practices:comparative insight gathering,comparative insight gathering,I28,"Expert reflection, comparative insight gathering",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,practices,practices:cross-case analysis,Cross-case analysis,I29,"Cross-case analysis, community-informed synthesis",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,practices,practices:community-informed synthesis,community-informed synthesis,I29,"Cross-case analysis, community-informed synthesis",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:conference framing,Conference framing,H26,"Conference framing, thematic context	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:thematic context,thematic context,H26,"Conference framing, thematic context	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:shadowing,Shadowing,H27,"Shadowing, fly-on-the-wall observation	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:fly-on-the-wall observation,fly-on-the-wall observation,H27,"Shadowing, fly-on-the-wall observation	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:written questionnaires,Written questionnaires,H28,"Written questionnaires, informal conversations	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:informal conversations,informal conversations,H28,"Written questionnaires, informal conversations	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:grounded theory coding,Grounded theory coding,H29,"Grounded theory coding, interpretation triangulation	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,methods,methods:interpretation triangulation,interpretation triangulation,H29,"Grounded theory coding, interpretation triangulation	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C08,data_source,data_source:questionnaires,questionnaires,N26,questionnaires,trim whitespace; case-insensitive key
C08,data_source,data_source:observation notes,observation notes,N27,observation notes,trim whitespace; case-insensitive key
C08,data_source,data_source:interview content,interview content,N28,interview content,trim whitespace; case-insensitive key
C08,stage,stage:framing,Framing,F26,Framing,trim whitespace; case-insensitive key
C08,stage,stage:observation,Observation,F27,Observation,trim whitespace; case-insensitive key
C08,stage,stage:questionnaire + discussion,Questionnaire + Discussion,F28,Questionnaire + Discussion,trim whitespace; case-insensitive key
C08,stage,stage:comparative reflection,Comparative Reflection,F29,Comparative Reflection	,trim whitespace; case-insensitive key
C08,institution,"institution:australasian crc for interaction design, creativity and cognition studios, university of technology sydney, simon fraser university","Australasian CRC for Interaction Design, Creativity and Cognition Studios, University of Technology Sydney, Simon Fraser University",D26,"Australasian CRC for Interaction Design, Creativity and Cognition Studios, University of Technology Sydney, Simon Fraser University",trim whitespace; case-insensitive key
C08,data_type,data_type:qualitative,Qualitative,M26,Qualitative ,trim whitespace; case-insensitive key
C08,type,type:exhibition / expert audience evaluation,Exhibition / Expert audience evaluation,B26,Exhibition / Expert audience evaluation,trim whitespace; case-insensitive key
C09,practices,practices:participatory idea generation,Participatory idea generation,I30,"Participatory idea generation, theme co-creation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C09,practices,practices:theme co-creation,theme co-creation,I30,"Participatory idea generation, theme co-creation",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C09,practices,practices:collaborative prototyping,Collaborative prototyping,I31,"Collaborative prototyping, interdisciplinary making",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C09,practices,practices:interdisciplinary making,interdisciplinary making,I31,"Collaborative prototyping, interdisciplinary making",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C09,practices,practices:narrative structuring,Narrative structuring,I32,"Narrative structuring, spatial storytelling",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C09,practices,practices:spatial storytelling,spatial storytelling,I32,"Narrative structuring, spatial storytelling",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C09,practices,practices:user experience design,User experience design,I33,"User experience design, live feedback integration",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
